step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
710,0.04205,0.98765,,
711,0.00095,1.0,,
712,0.24622,0.96296,,
713,0.08818,0.98611,,
714,0.09176,0.98305,,
715,0.02172,0.99077,,
716,0.03396,0.97826,,
717,0.02357,0.98361,,
718,7e-05,1.0,,
719,0.08165,0.94872,,
720,0.01428,0.98889,,
721,0.00052,1.0,,
722,0.00218,1.0,,
723,0.0149,0.99438,,
724,0.0015,1.0,,
725,0.05174,0.98305,,
726,0.02095,0.98765,,
727,0.3469,0.9322,,
728,0.00723,1.0,,
729,0.01322,1.0,,
730,0.05803,0.98143,,
731,0.07343,0.96809,,
732,0.00052,1.0,,
733,0.0468,0.96825,,
734,0.06555,0.98413,,
735,0.15023,0.95556,,
736,0.00416,1.0,,
737,0.02281,0.99104,,
738,0.12214,0.94545,,
739,0.22237,0.98936,,
740,0.01224,0.99248,,
741,0.01103,1.0,,
742,0.00053,1.0,,
743,0.04913,0.98667,,
744,0.00288,1.0,,
745,0.01617,1.0,,
746,2e-05,1.0,,
747,0.00054,1.0,,
748,0.00163,1.0,,
749,0.05628,0.9901,,
750,0.07641,0.98778,,
751,0.35686,0.96552,,
752,0.00687,1.0,,
753,0.04483,0.98837,,
754,0.22064,0.96104,,
755,0.00358,1.0,,
756,0.00126,1.0,,
757,0.00574,1.0,,
758,0.00376,1.0,,
759,0.0211,0.98507,,
760,0.18388,0.97778,,
761,0.02191,0.99813,,
762,0.01256,1.0,,
763,0.04327,0.98851,,
764,0.05515,0.98095,,
765,0.00296,1.0,,
766,0.01514,1.0,,
767,0.04107,0.99083,,
768,0.03023,0.98485,,
769,6.74556,0.125,,
770,0.08611,0.9759,,
771,0.18891,0.94624,,
772,0.04082,0.98571,,
773,0.00895,0.99694,,
774,0.12807,0.98182,,
775,0.02776,0.99,,
776,0.00632,1.0,,
777,0.01051,1.0,,
778,0.01045,0.99818,,
779,0.01336,0.992,,
780,0.00774,1.0,,
781,0.02746,0.99029,,
782,0.00068,1.0,,
783,0.01619,0.9875,,
784,0.01816,1.0,,
785,0.00155,1.0,,
786,0.00011,1.0,,
787,0.00625,1.0,,
788,0.03164,0.98956,,
789,0.01954,0.99194,,
790,0.00011,1.0,,
791,4e-05,1.0,,
792,0.0012,1.0,,
793,0.09468,0.98718,,
794,0.09251,0.98,,
795,0.09,0.98438,,
796,0.00295,1.0,,
797,0.13198,0.96667,,
798,0.29286,0.92208,,
799,0.08034,0.99265,,
800,0.00097,1.0,0.00809,1.0
801,0.0038,1.0,,
802,0.00278,1.0,,
803,0.15328,0.95652,,
804,0.00175,1.0,,
805,0.03812,0.9661,,
806,0.11536,0.98498,,
807,0.0984,0.97436,,
808,0.04527,0.98876,,
809,0.01515,0.99213,,
810,0.00022,1.0,,
811,0.03657,0.98611,,
812,0.00056,1.0,,
813,0.0023,1.0,,
814,0.1002,0.97959,,
815,0.03779,0.98861,,
816,0.08946,0.94872,,
817,0.02327,0.99138,,
818,0.10895,0.96429,,
819,0.03057,0.98246,,
820,0.10282,0.975,,
821,0.15442,0.976,,
822,0.11881,0.97101,,
823,0.01378,1.0,,
824,9e-05,1.0,,
825,0.00077,1.0,,
826,0.05296,0.98611,,
827,0.02962,0.98857,,
828,0.10088,0.96875,,
829,0.02166,0.98507,,
830,0.04928,0.98721,,
831,0.05131,0.98182,,
832,0.15248,0.95312,,
833,0.0011,1.0,,
834,0.00071,1.0,,
835,0.00126,1.0,,
836,0.00035,1.0,,
837,0.0003,1.0,,
838,0.00177,1.0,,
